"id","state","countyname","returns","label"
"13185","GA","Lowndes ",53,"Lowndes , GA"
"13215","GA","Muscogee ",31,"Muscogee , GA"
"13217","GA","Newton ",25,"Newton , GA"
"13223","GA","Paulding ",30,"Paulding , GA"
"13245","GA","Richmond ",38,"Richmond , GA"
"13247","GA","Rockdale ",27,"Rockdale , GA"
"13313","GA","Whitfield ",26,"Whitfield , GA"
"15003","HI","Honolulu ",60,"Honolulu , HI"
"17031","IL","Cook ",412,"Cook , IL"
"17043","IL","DuPage ",44,"DuPage , IL"
"17097","IL","Lake ",26,"Lake , IL"
"18017","IN","Cass ",22,"Cass , IN"
"18057","IN","Hamilton ",20,"Hamilton , IN"
"18097","IN","Marion ",93,"Marion , IN"
"19021","IA","Buena Vista ",27,"Buena Vista , IA"
"20091","KS","Johnson ",29,"Johnson , KS"
"21067","KY","Fayette ",26,"Fayette , KY"
"21111","KY","Jefferson ",314,"Jefferson , KY"
"22033","LA","East Baton Rouge Parish",25,"East Baton Rouge Parish, LA"
"22051","LA","Jefferson Parish",52,"Jefferson Parish, LA"
"22071","LA","Orleans Parish",58,"Orleans Parish, LA"
"24003","MD","Anne Arundel ",47,"Anne Arundel , MD"
"24005","MD","Baltimore ",30,"Baltimore , MD"
"24031","MD","Montgomery ",156,"Montgomery , MD"
"24033","MD","Prince George's ",88,"Prince George's , MD"
"24045","MD","Wicomico ",20,"Wicomico , MD"
"24510","MD","Baltimore ",54,"Baltimore , MD"
"25001","MA","Barnstable ",26,"Barnstable , MA"
"25009","MA","Essex ",64,"Essex , MA"
"25017","MA","Middlesex ",136,"Middlesex , MA"
"25021","MA","Norfolk ",58,"Norfolk , MA"
"25023","MA","Plymouth ",31,"Plymouth , MA"
"25025","MA","Suffolk ",166,"Suffolk , MA"
"25027","MA","Worcester ",40,"Worcester , MA"
"26065","MI","Ingham ",21,"Ingham , MI"
"26081","MI","Kent ",36,"Kent , MI"
"26125","MI","Oakland ",35,"Oakland , MI"
"26161","MI","Washtenaw ",29,"Washtenaw , MI"
"26163","MI","Wayne ",63,"Wayne , MI"
"27053","MN","Hennepin ",82,"Hennepin , MN"
"29021","MO","Buchanan ",20,"Buchanan , MO"
"29095","MO","Jackson ",53,"Jackson , MO"
"29189","MO","St. Louis ",43,"St. Louis , MO"
"29510","MO","St. Louis ",22,"St. Louis , MO"
"31055","NE","Douglas ",20,"Douglas , NE"
"31079","NE","Hall ",64,"Hall , NE"
"31119","NE","Madison ",37,"Madison , NE"
"31141","NE","Platte ",34,"Platte , NE"
"32003","NV","Clark ",466,"Clark , NV"
"33011",NA,NA,NA,"NA, NA"
"34001",NA,NA,NA,"NA, NA"
"34003","NJ","Bergen ",99,"Bergen , NJ"
"34005","NJ","Burlington ",28,"Burlington , NJ"
"34007","NJ","Camden ",25,"Camden , NJ"
"34013","NJ","Essex ",105,"Essex , NJ"
"34017","NJ","Hudson ",192,"Hudson , NJ"
"34021","NJ","Mercer ",22,"Mercer , NJ"
"34023","NJ","Middlesex ",62,"Middlesex , NJ"
"34025","NJ","Monmouth ",35,"Monmouth , NJ"
"34027","NJ","Morris ",34,"Morris , NJ"
"34029","NJ","Ocean ",22,"Ocean , NJ"
"34031","NJ","Passaic ",52,"Passaic , NJ"
"34035",NA,NA,NA,"NA, NA"
"34039","NJ","Union ",67,"Union , NJ"
"35001","NM","Bernalillo ",31,"Bernalillo , NM"
"35015","NM","Eddy ",20,"Eddy , NM"
"35025","NM","Lea ",28,"Lea , NM"
"36005","NY","Bronx ",171,"Bronx , NY"
"36029","NY","Erie ",28,"Erie , NY"
"36047","NY","Kings ",453,"Kings , NY"
"36055","NY","Monroe ",30,"Monroe , NY"
"36059","NY","Nassau ",110,"Nassau , NY"
"36061","NY","New York ",654,"New York , NY"
"36067","NY","Onondaga ",27,"Onondaga , NY"
"36071",NA,NA,NA,"NA, NA"
"36081","NY","Queens ",319,"Queens , NY"
"36085",NA,NA,NA,"NA, NA"
"36087","NY","Rockland ",24,"Rockland , NY"
"36103","NY","Suffolk ",102,"Suffolk , NY"
"36119","NY","Westchester ",103,"Westchester , NY"
"37021","NC","Buncombe ",69,"Buncombe , NC"
"37051","NC","Cumberland ",73,"Cumberland , NC"
"37063","NC","Durham ",56,"Durham , NC"
"37067","NC","Forsyth ",45,"Forsyth , NC"
"37081","NC","Guilford ",63,"Guilford , NC"
"37089","NC","Henderson ",25,"Henderson , NC"
"37097","NC","Iredell ",30,"Iredell , NC"
"37101","NC","Johnston ",24,"Johnston , NC"
"37119","NC","Mecklenburg ",299,"Mecklenburg , NC"
"37133","NC","Onslow ",43,"Onslow , NC"
"37135","NC","Orange ",29,"Orange , NC"
"37179","NC","Union ",32,"Union , NC"
"37183","NC","Wake ",226,"Wake , NC"
"39035","OH","Cuyahoga ",61,"Cuyahoga , OH"
"39049","OH","Franklin ",89,"Franklin , OH"
"39061","OH","Hamilton ",47,"Hamilton , OH"
"40109","OK","Oklahoma ",24,"Oklahoma , OK"
"40143","OK","Tulsa ",20,"Tulsa , OK"
"41051","OR","Multnomah ",48,"Multnomah , OR"
"41067","OR","Washington ",25,"Washington , OR"
"42003","PA","Allegheny ",65,"Allegheny , PA"
"42011",NA,NA,NA,"NA, NA"
"42017","PA","Bucks ",22,"Bucks , PA"
"42029","PA","Chester ",22,"Chester , PA"
"42045",NA,NA,NA,"NA, NA"
"42071","PA","Lancaster ",27,"Lancaster , PA"
"42077","PA","Lehigh ",24,"Lehigh , PA"
"42091","PA","Montgomery ",52,"Montgomery , PA"
"42101","PA","Philadelphia ",175,"Philadelphia , PA"
"44007","RI","Providence ",59,"Providence , RI"
"45013","SC","Beaufort ",23,"Beaufort , SC"
"45015","SC","Berkeley ",26,"Berkeley , SC"
"45019","SC","Charleston ",47,"Charleston , SC"
"45045","SC","Greenville ",83,"Greenville , SC"
"45063","SC","Lexington ",34,"Lexington , SC"
"45079","SC","Richland ",45,"Richland , SC"
"45083","SC","Spartanburg ",27,"Spartanburg , SC"
"45091","SC","York ",25,"York , SC"
"47037","TN","Davidson ",134,"Davidson , TN"
"47065","TN","Hamilton ",33,"Hamilton , TN"
"47093","TN","Knox ",54,"Knox , TN"
"47125","TN","Montgomery ",28,"Montgomery , TN"
"47149","TN","Rutherford ",45,"Rutherford , TN"
"47157","TN","Shelby ",77,"Shelby , TN"
"47187","TN","Williamson ",27,"Williamson , TN"
"48027","TX","Bell ",55,"Bell , TX"
"48029","TX","Bexar ",144,"Bexar , TX"
"48039","TX","Brazoria ",27,"Brazoria , TX"
"48085","TX","Collin ",98,"Collin , TX"
"48113","TX","Dallas ",297,"Dallas , TX"
"48121","TX","Denton ",78,"Denton , TX"
"48135","TX","Ector ",127,"Ector , TX"
"48141","TX","El Paso ",57,"El Paso , TX"
"48157","TX","Fort Bend ",91,"Fort Bend , TX"
"48167","TX","Galveston ",21,"Galveston , TX"
"48201","TX","Harris ",893,"Harris , TX"
"48215","TX","Hidalgo ",41,"Hidalgo , TX"
"48329","TX","Midland ",63,"Midland , TX"
"48339","TX","Montgomery ",45,"Montgomery , TX"
"48355","TX","Nueces ",27,"Nueces , TX"
"48439","TX","Tarrant ",185,"Tarrant , TX"
"48453","TX","Travis ",294,"Travis , TX"
"48491","TX","Williamson ",79,"Williamson , TX"
"49035","UT","Salt Lake ",63,"Salt Lake , UT"
"51013","VA","Arlington ",80,"Arlington , VA"
"51041","VA","Chesterfield ",28,"Chesterfield , VA"
"51059","VA","Fairfax ",176,"Fairfax , VA"
"51087","VA","Henrico ",29,"Henrico , VA"
"51107","VA","Loudoun ",65,"Loudoun , VA"
"51153","VA","Prince William ",56,"Prince William , VA"
"51510","VA","Alexandria ",50,"Alexandria , VA"
"51550","VA","Chesapeake ",25,"Chesapeake , VA"
"51700","VA","Newport News ",24,"Newport News , VA"
"51710","VA","Norfolk ",20,"Norfolk , VA"
"51810","VA","Virginia Beach ",52,"Virginia Beach , VA"
"53033","WA","King ",184,"King , WA"
"53053","WA","Pierce ",42,"Pierce , WA"
"53061","WA","Snohomish ",36,"Snohomish , WA"
"55025","WI","Dane ",24,"Dane , WI"
"55079","WI","Milwaukee ",30,"Milwaukee , WI"
